word,frequency,sentiment
não,2238,positive
testei,108,positive
o,8999,positive
produto,11921,positive
ainda,768,positive
mas,1497,positive
ele,166,positive
veio,1357,positive
correto,481,positive
e,9121,positive
em,2202,positive
boas,63,positive
condições,309,positive
apenas,218,positive
a,6367,positive
caixa,201,positive
que,3744,positive
bem,3065,positive
amassada,38,positive
danificada,13,positive
ficará,8,positive
chato,11,positive
pois,465,positive
se,439,positive
trata,11,positive
de,6004,positive
um,1628,positive
presente,134,positive
muito,7422,positive
bom,4479,positive
foi,2371,positive
exatamente,285,positive
eu,1374,positive
esperava,311,positive
estava,259,positive
descrito,155,positive
no,3147,positive
site,638,positive
chegou,4467,positive
antes,5911,positive
da,1804,positive
data,531,positive
prevista,264,positive
gostei,1608,positive
do,8792,positive
obrigado,470,positive
pela,438,positive
atenção,74,positive
lojas,285,positive
lannister,617,positive
perfeito,1001,positive
tudo,2465,positive
sempre,876,positive
vou,272,positive
comprar,797,positive
aqui,64,positive
é,2802,positive
melhor,349,positive
parabéns,986,positive
lindos,75,positive
acabamento,167,positive
incrivel,3,positive
muiro,2,positive
macios,9,positive
super,1821,positive
conta,56,positive
ficou,166,positive
ok,732,positive
só,861,positive
pensei,34,positive
q,279,positive
fosse,78,positive
maior,140,positive
masta,1,positive
há,68,positive
tempo,375,positive
efetuo,1,positive
compras,229,positive
atraves,3,positive
desta,28,positive
loja,1687,positive
nunca,159,positive
tive,364,positive
problemas,266,positive
entrega,5227,positive
pode,84,positive
lacrado,43,positive
todo,106,positive
original,150,positive
quero,61,positive
cartão,32,positive
crédito,4,positive
das,274,positive
minha,689,positive
satisfação,49,positive
plena,4,positive
prazo,7854,positive
excelente,2008,positive
cuidadosamente,4,positive
embalado,802,positive
recomendo,4235,positive
inicialmente,6,positive
pedi,111,positive
cancelamento,16,positive
pedido,456,positive
devido,53,positive
falta,84,positive
atualização,5,positive
com,3090,positive
hoje,65,positive
sei,78,positive
erro,19,positive
aplicativo,8,positive
vendedor,406,positive
potente,12,positive
grande,139,positive
marcada,25,positive
somente,112,positive
mala,23,positive
pequena,50,positive
bordo,2,positive
avião,2,positive
º,5,positive
viagem,10,positive
seanite,2,positive
preta,37,positive
entregue,2469,positive
auto,8,positive
transformador,5,positive
automático,4,positive
bivolt,3,positive
va,2,positive
até,501,positive
btus,6,positive
agora,185,positive
testar,53,positive
para,1286,positive
avaliar,52,positive
qualidade,2491,positive
certo,872,positive
uma,916,positive
ótima,992,positive
decoração,8,positive
deixar,18,positive
ambiente,14,positive
lindo,651,positive
otimo,671,positive
perfeitas,232,positive
pelo,499,positive
atendimento,641,positive
conforme,830,positive
combinado,317,positive
ficamos,11,positive
felizes,6,positive
satisfeitos,15,positive
recebi,1751,positive
dias,476,positive
bonito,434,positive
parece,146,positive
trofeu,1,positive
ótimo,1963,positive
queria,94,positive
espero,114,positive
seja,59,positive
assim,207,positive
rápido,1021,positive
serviços,29,positive
todos,559,positive
ótimos,69,positive
porém,367,positive
achei,353,positive
fecho,4,positive
pouco,340,positive
frágilrecomendo,1,positive
recomendado,76,positive
suporte,34,positive
parafuso,12,positive
espanado,1,positive
como,1028,positive
precisava,27,positive
urgente,8,positive
devolvi,4,positive
pra,385,positive
trocar,47,positive
meu,612,positive
primo,2,positive
soldou,1,positive
fora,83,positive
issoo,1,positive
entregou,343,positive
dia,492,positive
acho,146,positive
deveria,114,positive
enviar,30,positive
produtos,852,positive
juntos,19,positive
já,397,positive
na,1484,positive
nota,395,positive
fiscal,86,positive
estavamos,2,positive
juntas,9,positive
são,358,positive
as,960,positive
mesmas,3,positive
luminarias,8,positive
quase,66,positive
semana,88,positive
depois,110,positive
diferenca,2,positive
adorei,822,positive
gracinha,3,positive
doida,2,positive
p,46,positive
chegaré,1,positive
otima,278,positive
superou,182,positive
expectativa,115,positive
está,373,positive
funcionando,97,positive
claro,22,positive
objetivo,10,positive
corretamente,270,positive
serviço,218,positive
os,880,positive
foram,112,positive
rapida,270,positive
solicitei,38,positive
devolução,31,positive
pedidodevido,1,positive
ter,322,positive
feito,80,positive
outra,97,positive
compra,1251,positive
certinho,491,positive
outro,174,positive
execelente,9,positive
precisar,24,positive
irei,36,positive
empresa,268,positive
confiável,139,positive
amaricanas,2,positive
impecavel,1,positive
venda,43,positive
atendeu,273,positive
amei,695,positive
baratheon,207,positive
confiabilidade,8,positive
informações,37,positive
corretas,10,positive
prestezas,1,positive
nas,193,positive
entregas,56,positive
boa,1190,positive
extremamente,45,positive
atencioso,28,positive
satisfeito,604,positive
estimado,63,positive
testálo,1,positive
acompanha,17,positive
cartucho,38,positive
tinta,18,positive
comprei,724,positive
legal,70,positive
moto,8,positive
indico,199,positive
alta,47,positive
mais,1082,positive
bonita,173,positive
tecido,93,positive
linda,266,positive
janela,2,positive
rápida,1536,positive
previsto,826,positive
estou,795,positive
satisfeita,728,positive
segura,46,positive
correta,97,positive
todas,125,positive
minhas,397,positive
expectativas,411,positive
prático,73,positive
doproduto,1,positive
comprado,113,positive
sentido,5,positive
vei,4,positive
esse,163,positive
umas,14,positive
banquetas,4,positive
desse,32,positive
falaram,3,positive
n,34,positive
nao,225,positive
sim,154,positive
kit,66,positive
perfeitamente,134,positive
atende,127,positive
necessidades,63,positive
precisávamos,1,positive
atenciosa,21,positive
nada,147,positive
tenho,187,positive
declara,1,positive
abraço,18,positive
espectativas,53,positive
determinado,85,positive
igual,132,positive
foto,238,positive
por,564,positive
estar,26,positive
dentro,1367,positive
periodo,4,positive
definido,6,positive
estabelecido,113,positive
vai,69,positive
ser,496,positive
útil,33,positive
cada,60,positive
pneu,8,positive
meus,105,positive
parabénscontinuem,2,positive
espetacular,8,positive
preço,515,positive
produro,3,positive
leve,68,positive
caixinha,19,positive
papelão,11,positive
certificado,7,positive
garantia,24,positive
manual,69,positive
tamanho,171,positive
cor,197,positive
dourado,15,positive
chamativo,1,positive
ara,1,positive
dar,46,positive
cunhada,1,positive
amou,90,positive
feliz,158,positive
vocês,117,positive
estão,211,positive
mercadoria,235,positive
imediata,7,positive
mt,67,positive
pendente,35,positive
tem,345,positive
peça,32,positive
plástico,46,positive
aquela,4,positive
liga,3,positive
luz,23,positive
rosca,2,positive
curta,4,positive
aquisicao,1,positive
fiquei,367,positive
isso,243,positive
ja,95,positive
usando,35,positive
outras,116,positive
vezes,127,positive
continuar,38,positive
comprando,53,positive
muita,125,positive
confiança,76,positive
estado,463,positive
compacto,4,positive
usei,101,positive
mercadorias,22,positive
chegam,18,positive
condicoes,5,positive
desejá,1,positive
vel,1,positive
mesmo,454,positive
atençao,5,positive
completa,5,positive
quando,133,positive
abri,32,positive
embrulhado,16,positive
so,109,positive
porque,149,positive
retirar,54,positive
nos,150,positive
correios,292,positive
satisfeitíssima,6,positive
certeza,148,positive
comprarei,81,positive
outros,62,positive
tá,34,positive
satisfeitaobrigada,2,positive
cores,43,positive
vivas,4,positive
recortado,1,positive
deu,143,positive
trabalho,90,positive
colocar,52,positive
à,100,positive
experiência,35,positive
resultado,19,positive
surpreendente,11,positive
voltagem,18,positive
sendo,90,positive
recebido,146,positive
sucesso,38,positive
feita,171,positive
menos,92,positive
antesdo,9,positive
programado,18,positive
prometido,133,positive
agilidade,104,positive
prazotudo,4,positive
tapete,78,positive
fazer,154,positive
pontual,47,positive
filho,85,positive
gostou,37,positive
filha,89,positive
ela,95,positive
fácil,223,positive
montar,60,positive
jeito,87,positive
imaginava,44,positive
stark,205,positive
entrga,8,positive
rapido,221,positive
profissionalismo,13,positive
fornecedor,87,positive
quê,11,positive
esperado,452,positive
vez,186,positive
previsão,58,positive
era,276,positive
questão,19,positive
peruca,1,positive
sintetica,1,positive
semelhante,5,positive
cabelos,3,positive
fio,20,positive
fino,31,positive
opaco,1,positive
possui,31,positive
brilho,8,positive
artificial,2,positive
voltarei,45,positive
negócio,23,positive
essa,206,positive
folha,3,positive
simplesmente,40,positive
maravilhosa,34,positive
além,128,positive
enchuga,1,positive
bemrecomendo,1,positive
comprem,11,positive
compensa,18,positive
estipulado,275,positive
compraria,53,positive
novamentede,1,positive
uns,28,positive
cortes,6,positive
encaixoutudo,1,positive
embora,37,positive
tenha,28,positive
errado,56,positive
oproduto,4,positive
mil,24,positive
comprara,1,positive
comvoces,1,positive
obrigada,395,positive
coração,4,positive
ocorreu,118,positive
certotanto,1,positive
quanto,103,positive
pruto,2,positive
vim,11,positive
especificados,3,positive
metragem,3,positive
eficiência,72,positive
princípio,13,positive
eh,16,positive
natal,21,positive
acordo,211,positive
informado,115,positive
abraçoenedina,2,positive
bon,2,positive
irineu,1,positive
vc,26,positive
sabe,4,positive
nem,87,positive
ligaram,11,positive
informar,23,positive
existia,2,positive
poderia,184,positive
enviada,4,positive
preferi,4,positive
esperar,12,positive
desejada,4,positive
pontuais,10,positive
efetuado,6,positive
programada,12,positive
sabor,18,positive
esvolher,1,positive
gosto,122,positive
chocolate,5,positive
tablet,7,positive
defeito,92,positive
devo,13,positive
faze,1,positive
rapidamente,55,positive
blend,1,positive
caro,112,positive
realmente,103,positive
funciona,116,positive
to,21,positive
segundo,40,positive
frasco,7,positive
percebo,1,positive
bons,71,positive
resultados,15,positive
barba,3,positive
falha,10,positive
cresce,1,positive
grossamente,1,positive
produtolindo,4,positive
especificar,4,positive
mamadeira,1,positive
quesitos,5,positive
efetuada,20,positive
através,27,positive
dos,349,positive
demorou,158,positive
resistente,112,positive
material,344,positive
fabricado,2,positive
mara,3,positive
maravilha,25,positive
preso,2,positive
intermediária,5,positive
parceira,36,positive
enviado,57,positive
direitinho,105,positive
recomendadíssimo,12,positive
produtoa,4,positive
certinhoindico,1,positive
ágil,43,positive
sem,614,positive
avarias,28,positive
testado,20,positive
uso,108,positive
contínuono,1,positive
alto,37,positive
verão,3,positive
corresponda,1,positive
faltou,94,positive
esta,212,positive
email,49,positive
informa,6,positive
emitida,6,positive
maneira,29,positive
fico,34,positive
aguardo,47,positive
recomendaria,46,positive
chega,89,positive
fiz,146,positive
várias,39,positive
descrição,202,positive
ou,118,positive
correntinho,1,positive
ameiii,14,positive
bacana,18,positive
cliente,195,positive
devidamente,13,positive
realizei,13,positive
pq,86,positive
chegava,5,positive
chegar,129,positive
todosproduto,2,positive
perfeitosó,2,positive
encaixei,1,positive
usb,8,positive
pc,5,positive
conectoucom,1,positive
velocidade,6,positive
ótimaentrega,1,positive
rápidachegou,2,positive
prazoestou,5,positive
anunciado,266,positive
marcadores,1,positive
maravilhosos,15,positive
percebi,13,positive
zíper,5,positive
parte,72,positive
menor,93,positive
primeira,152,positive
abriu,5,positive
feixe,2,positive
segunda,53,positive
diante,6,positive
caso,30,positive
abra,3,positive
novamente,85,positive
entro,4,positive
contato,82,positive
derramou,3,positive
pouquinho,20,positive
embalagem,236,positive
suja,7,positive
ao,389,positive
proposto,11,positive
custo,171,positive
beneficio,51,positive
simples,70,positive
usar,103,positive
reciclada,1,positive
mostrando,2,positive
preocupação,11,positive
meio,43,positive
hein,1,positive
despacho,1,positive
este,104,positive
resolvido,15,positive
bastante,161,positive
sugestão,20,positive
vender,6,positive
separado,16,positive
inclusive,28,positive
jogo,63,positive
lençol,35,positive
mostra,24,positive
cobre,18,positive
leito,4,positive
anuncio,80,positive
bebedouro,5,positive
receber,120,positive
atendimentotudo,1,positive
apesar,144,positive
úteis,33,positive
compromisso,38,positive
consumidor,42,positive
coforme,1,positive
especificado,37,positive
comentários,11,positive
pinceis,5,positive
otimos,19,positive
msm,7,positive
online,34,positive
trocarei,1,positive
ml,8,positive
lannistercom,86,positive
capacidade,4,positive
cumprindo,12,positive
prometeu,10,positive
momento,83,positive
voces,21,positive
gostaria,77,positive
saber,54,positive
valor,155,positive
frete,325,positive
benevidesquando,1,positive
coloco,1,positive
carinho,12,positive
mundando,1,positive
teve,31,positive
te,11,positive
mim,58,positive
pata,1,positive
escolher,9,positive
modelo,43,positive
havia,60,positive
certamente,6,positive
procurarei,1,positive
futuro,5,positive
boneca,21,positive
carinha,1,positive
queridaamei,1,positive
olha,10,positive
y,4,positive
aconteceu,32,positive
saet,1,positive
condiçõesnota,1,positive
dei,25,positive
total,34,positive
causa,40,positive
problema,293,positive
constante,5,positive
atrasando,2,positive
entrar,8,positive
solicitação,15,positive
troca,83,positive
avaliação,35,positive
tinha,124,positive
ninguém,24,positive
casa,145,positive
falou,1,positive
correio,134,positive
difícil,15,positive
tivesse,22,positive
nunquem,1,positive
aquário,2,positive
retorno,25,positive
confere,8,positive
anúncio,168,positive
nf,30,positive
junto,70,positive
vamos,28,positive
ver,90,positive
dá,49,positive
podem,38,positive
prazomeu,1,positive
mochilaobrigada,1,positive
mause,1,positive
barato,79,positive
muuuuito,4,positive
vem,111,positive
prasso,1,positive
rede,22,positive
parafusos,22,positive
sensacional,26,positive
medo,36,positive
coisa,72,positive
quem,98,positive
fã,6,positive
k,11,positive
jndico,1,positive
dico,1,positive
virtual,11,positive
lacrada,6,positive
durex,1,positive
rasgou,3,positive
toda,85,positive
hora,66,positive
ate,87,positive
ressalva,8,positive
escolhi,20,positive
atraso,80,positive
qualdade,1,positive
acabado,36,positive
violado,4,positive
entrei,28,positive
atendente,5,positive
